,start,end,kor,eng
178,556595,559880,"배리, 총은 잘 쏘는 편이야?",
179,560899,562733,총이 아니라 두뇌 대결 말이야,
180,562735,564352,상식 퀴즈를 하자,
181,564354,566020,분야는 네가 고르도록 해,
182,566022,569523,"스타트렉 일반,  스타트렉 넥스트 제너레이션",
183,569525,570875,스타트렉  딥 스페이스 나인,
184,570877,573160,스타트렉 보이저,
185,573162,575580,혹은 모형 기차,
186,575582,578499,퀴즈에서는 네가 유리하지,
187,578501,579900,넌 직관상적  기억을 갖고 있어,
188,579902,581369,난 스타트렉을  안 본 지 오래됐어,
189,581371,586374,집 근처 스트립 클럽에 공짜 뷔페가 있더라고,
190,586376,590177,둘 다 비슷하게 잘하는 분야는 없을 거야,
191,590179,592346,둘 다 비슷하게 못하는 분야는 있어?,
192,592348,594548,운동,
193,602751,604251,"자, 1대1이야",
194,604253,607088,5번 성공하는 사람이 사무실을 갖게 돼,
195,607090,607855,"응, 쉘든",
196,607857,609841,5번이라니?,
197,609843,613027,농구대에 공을 넣으라고,
198,629111,632297,아웃이지?,
199,640055,641806,타임,
200,641808,643725,자리가 부족하네,
201,646729,649764,학교에서 우리한테 장난치던 놈들 있잖아,
202,649766,650815,응,
203,650817,652817,이젠 이해가 간다,
204,665664,667432,일부러 그런 거야,
205,667434,668833,아냐,
206,668835,672337,너네는 일부러 뭔가를 할 수 있는 수준이 아냐,
207,672339,675206,1대1은 그만하고,
208,675208,676774,자유투로 하자,
209,676776,679844,먼저 슛을 성공하는 사람이 이기는 거야,
210,679846,681746,너무 쉽게 만드네,
211,681748,684415,아니거든,
212,687219,691889,Use the force,
213,694126,696728,힘이 더 필요하네,
214,698630,702400,"쿠퍼, 실망할 준비를 하시지",
215,706322,708522,저건 안 쳐주나?,
216,728178,731345,45분이나 썼다,
217,731347,733648,"이제 재미없어, 다른 걸 해보자",
218,735050,736434,떠오르는 거 있어?,
219,736436,738019,내가 셋까지 세면,
220,738021,740405,둘은 힘껏 공을 내리쳐,
221,740407,741823,높게 튕기는 사람이 승자야,
222,741825,743825,"넌 죽었어, 쿠퍼",
223,743827,745193,헛소리 하시네,
224,745195,747578,고무공이라면  많이 튕겨봤거든,
225,747580,749947,수다는 그만 떨자,
226,751450,752834,하나,
227,752836,755002,"둘, 셋",
228,756738,758539,쉘든 공이 더 높아,
229,758541,759757,축하해,
230,759759,760958,"쉘든, 네가 이겼어",
231,760960,764578,이래도 체육 과목에 불합격을 줄 거냐?,
232,773440,775156,영화 정말 재밌다,
233,775158,777475,'그리스'를 본 적이 없다니,
234,777477,779277,엄마가 봇 보게 했어,
235,779279,781779,내가 갱단에  가입할까봐 걱정하셨지,
236,784099,785450,가봐야겠다,
237,785452,786784,내일 일찍 일어나야 해,
238,786786,790271,고환에 영향을 안 끼치는 스테로이드가 들어왔는데,
239,790273,793908,늦게 출근하는 사람이 크기를 재기로 했어,
240,793910,796077,나도 가야겠다,
241,797612,800164,"잘자, 그림 속 페니",
242,800166,802216,"잘자, 현실 속 페니",
243,802218,804585,"잘자, 현실 속 에이미",
244,804587,807889,그림 속 에이미한테는 인사하지 않아도 돼,
245,807891,809874,영원히 곁에 있을 테니까,
246,812478,814345,"잘자, 현실 속 페니",
247,814347,816147,안녕,
248,816149,818065,"잘자, 여장한 페니",
249,822105,824355,이제 좀 내려볼까,
250,827159,829360,눈에서 멀어지면 마음에서도 멀어지지,
251,830812,832980,제발 그랬으면,
252,834633,837368,아까 그 영화 좀 빌려도 될까?,
253,837370,839670,노래 부르는 고딩들이 기억에 남네,
254,839672,841873,물론이지,
255,841875,844208,다 보고 천천히 돌려줘,
256,844210,845593,"아니다, 너한테 줄게",
257,845595,847011,네게 주는 선물이야,
258,847013,848713,안녕 - 고마워,
259,848715,850664,그림은 어디 갔지?,
260,850666,852216,저쪽에 있어,
261,853418,855603,왜?,
262,856271,858472,"나도 모르겠어, 이상하네",
263,861176,862610,싫어하는구나 - 아냐,
264,862612,865730,좀 커서 그래,
265,865732,867949,"난 정말 바보같아 - 아냐, 그렇지 않아",
266,867951,869300,다시 걸어줘,
267,869302,871352,내가 가면 또  처박아 놓으려고?,
268,871354,873704,동정 따위는 필요없어,
269,873706,877241,조각품을 선물하지 않아서 다행이야,
270,880078,883614,전리품이로군,
271,883616,885416,승자들이 열광하는 이유를 알겠다,
272,887319,888753,네가 이겨서 기쁘지만,
273,888755,891455,사무실을 따로 쓰게  돼서 조금 섭섭하네,
274,891457,892924,그렇겠지,
275,892926,895159,아무때나 놀러와,
